;AutoML;class;accuracy;precision;recall;f1-score
0;H2O;class 1; ;0.9842209072978304;0.997002997002997;0.9905707196029777
1;H2O;class 2; ;1.0;0.625;0.7692307692307693
2;H2O;class 3; ;0.7;0.4666666666666667;0.56
3;H2O;class 4; ;0.6818181818181818;0.8333333333333334;0.7499999999999999
4;H2O;class 5; ;0.8947368421052632;0.85;0.8717948717948718
5;H2O;total; ;0.852155186244255;0.7544005994005994;0.7883192721257237
6;TPOT;class 1; ;0.9862068965517241;1.0;0.9930555555555556
7;TPOT;class 2; ;0.8235294117647058;0.875;0.8484848484848485
8;TPOT;class 3; ;1.0;0.4;0.5714285714285714
9;TPOT;class 4; ;1.0;0.4444444444444444;0.6153846153846154
10;TPOT;class 5; ;0.5454545454545454;0.9;0.6792452830188679
11;TPOT;total; ;0.8710381707541952;0.7238888888888888;0.7415197747744917
