;year;countryName;regionName;NUTRITION_ANAEMIA_CHILDREN_PRE;HEMOGLOBINLEVEL_PREGNANT_MEAN;HEMOGLOBINLEVEL_NONPREGNANT_ME;POP;percent
1080;2000;Sao Tome and Principe;Africa;211.5;107.0;118.0;143714.0;0.14716729059103498
1081;2004;Sao Tome and Principe;Africa;198.7;107.0;119.0;157697.0;0.1260011287469007
1097;2001;Sao Tome and Principe;Africa;208.20000000000002;107.0;118.0;146258.0;0.14235118762734347
1098;2002;Sao Tome and Principe;Africa;205.20000000000002;107.0;118.0;149841.0;0.13694516187158387
1099;2003;Sao Tome and Principe;Africa;201.89999999999998;107.0;118.0;153762.0;0.13130682483318373
2080;2000;San Marino;Europe;36.900000000000006;120.0;132.0;26823.0;0.137568504641539
2097;2001;San Marino;Europe;36.0;120.0;132.0;27335.0;0.1316992866288641
2098;2002;San Marino;Europe;35.400000000000006;120.0;132.0;27969.0;0.12656870106188997
2099;2003;San Marino;Europe;35.099999999999994;120.0;132.0;28601.0;0.12272298171392607
2606;2009;Dominica;Americas;83.69999999999999;118.0;129.0;68787.0;0.12167996859871776
2607;2010;Dominica;Americas;84.6;118.0;130.0;68755.0;0.12304559668387753
2608;2011;Dominica;Americas;84.8;119.0;130.0;68742.0;0.12335980914142736
2609;2012;Dominica;Americas;85.19999999999999;119.0;130.0;68888.0;0.12367901521309951
2610;2013;Dominica;Americas;85.5;119.0;130.0;68819.0;0.12423894564001221
2611;2014;Dominica;Americas;86.2;119.0;130.0;69371.0;0.1242594167591645
2612;2015;Dominica;Americas;86.69999999999999;119.0;130.0;70007.0;0.12384475838130471
2613;2016;Dominica;Americas;87.3;119.0;130.0;70075.0;0.12458080627898678
2614;2017;Dominica;Americas;87.7;119.0;130.0;70403.0;0.12456855531724502
2615;2018;Dominica;Americas;88.5;119.0;130.0;70823.0;0.12495940584273471
2616;2019;Dominica;Americas;89.4;119.0;129.0;71428.0;0.1251610012880103
2900;2000;Saint Kitts and Nevis;Americas;76.5;120.0;130.0;45461.0;0.16827610479311939
2901;2004;Saint Kitts and Nevis;Americas;73.19999999999999;121.0;131.0;46580.0;0.15714899098325458
2902;2005;Saint Kitts and Nevis;Americas;72.9;121.0;131.0;46725.0;0.15601926163723917
2903;2006;Saint Kitts and Nevis;Americas;72.6;121.0;131.0;46874.0;0.15488330417715576
2904;2007;Saint Kitts and Nevis;Americas;72.0;121.0;131.0;47015.0;0.15314261405934276
2905;2008;Saint Kitts and Nevis;Americas;71.6;121.0;131.0;47156.0;0.1518364577148189
2906;2009;Saint Kitts and Nevis;Americas;71.10000000000001;121.0;131.0;47286.0;0.15036162923486868
2907;2010;Saint Kitts and Nevis;Americas;70.5;121.0;131.0;47403.0;0.14872476425542688
2908;2011;Saint Kitts and Nevis;Americas;68.4;121.0;132.0;47581.0;0.14375486013324648
2909;2012;Saint Kitts and Nevis;Americas;67.19999999999999;122.0;132.0;47727.0;0.14080080457602615
2910;2013;Saint Kitts and Nevis;Americas;65.4;122.0;132.0;47767.0;0.13691460631816946
