;year;countryName;regionName;WSH_10;HEMOGLOBINLEVEL_PREGNANT_MEAN;HEMOGLOBINLEVEL_NONPREGNANT_ME;AIR_11
0;2019;Afghanistan;Eastern Mediterranean;12097.0;115.0;121.0;99555.99706000001
1;2019;Iran (Islamic Republic of);Eastern Mediterranean;2192.0;118.0;128.0;23558.294990000002
2;2019;Iraq;Eastern Mediterranean;2760.0;115.0;125.0;2920.03165
3;2019;Jordan;Eastern Mediterranean;179.0;115.0;123.0;203.64544999999998
4;2019;Lebanon;Eastern Mediterranean;82.0;117.0;126.0;
5;2019;Libya;Eastern Mediterranean;92.0;116.0;126.0;
6;2019;Morocco;Eastern Mediterranean;1473.0;116.0;126.0;11513.2122
7;2019;Oman;Eastern Mediterranean;30.0;116.0;126.0;0.0
8;2019;Pakistan;Eastern Mediterranean;163244.0;111.0;121.0;611700.1620199999
9;2019;Bahrain;Eastern Mediterranean;6.0;115.0;124.0;0.0
10;2019;Djibouti;Eastern Mediterranean;578.0;114.0;126.0;3494.3814
11;2019;Egypt;Eastern Mediterranean;5223.0;117.0;126.0;3902.47798
12;2019;Qatar;Eastern Mediterranean;4.0;117.0;126.0;0.0
13;2019;Saudi Arabia;Eastern Mediterranean;169.0;117.0;126.0;0.0
14;2019;Sudan;Eastern Mediterranean;12907.0;114.0;123.0;76741.62301999998
15;2019;Somalia;Eastern Mediterranean;28979.0;109.0;121.0;64245.68512
16;2019;Syrian Arab Republic;Eastern Mediterranean;3327.0;115.0;125.0;6036.816209999999
17;2019;Kuwait;Eastern Mediterranean;2.0;119.0;128.0;0.0
18;2019;Tunisia;Eastern Mediterranean;228.0;116.0;125.0;724.7594
19;2019;Yemen;Eastern Mediterranean;7700.0;105.0;113.0;50566.99175999999
20;2019;United Arab Emirates;Eastern Mediterranean;33.0;118.0;128.0;0.0
21;2019;Indonesia;South-East Asia;74880.0;111.0;125.0;371592.52919000003
22;2019;India;South-East Asia;935094.0;109.0;117.0;3245048.1729399995
23;2019;Sri Lanka;South-East Asia;755.0;114.0;124.0;69474.2735
24;2019;Myanmar;South-East Asia;11224.0;110.0;122.0;216151.3799
25;2019;Nepal;South-East Asia;9156.0;112.0;124.0;100275.09462000002
26;2019;Democratic People's Republic of Korea;South-East Asia;549.0;113.0;124.0;200572.38539
27;2019;Bangladesh;South-East Asia;54119.0;112.0;123.0;468821.68425
28;2019;Bhutan;South-East Asia;203.0;114.0;123.0;1110.67116
