;year;countryName;regionName;HEMOGLOBINLEVEL_PREGNANT_MEAN;HEMOGLOBINLEVEL_NONPREGNANT_ME;AIR_11;WSH_10
0;2019;Afghanistan;Eastern Mediterranean;115.0;121.0;99555.99706000001;1
1;2019;Iran (Islamic Republic of);Eastern Mediterranean;118.0;128.0;23558.294990000002;1
2;2019;Iraq;Eastern Mediterranean;115.0;125.0;2920.03165;1
3;2019;Jordan;Eastern Mediterranean;115.0;123.0;203.64544999999998;1
4;2019;Lebanon;Eastern Mediterranean;117.0;126.0;1.0;1
5;2019;Libya;Eastern Mediterranean;116.0;126.0;1.0;1
6;2019;Morocco;Eastern Mediterranean;116.0;126.0;11513.2122;1
7;2019;Oman;Eastern Mediterranean;116.0;126.0;0.0;1
9;2019;Bahrain;Eastern Mediterranean;115.0;124.0;0.0;1
11;2019;Egypt;Eastern Mediterranean;117.0;126.0;3902.47798;1
12;2019;Qatar;Eastern Mediterranean;117.0;126.0;0.0;1
13;2019;Saudi Arabia;Eastern Mediterranean;117.0;126.0;0.0;1
14;2019;Sudan;Eastern Mediterranean;114.0;123.0;76741.62301999998;1
16;2019;Syrian Arab Republic;Eastern Mediterranean;115.0;125.0;6036.816209999999;1
17;2019;Kuwait;Eastern Mediterranean;119.0;128.0;0.0;1
18;2019;Tunisia;Eastern Mediterranean;116.0;125.0;724.7594;1
19;2019;Yemen;Eastern Mediterranean;105.0;113.0;50566.99175999999;1
20;2019;United Arab Emirates;Eastern Mediterranean;118.0;128.0;0.0;1
21;2019;Indonesia;South-East Asia;111.0;125.0;371592.52919000003;1
23;2019;Sri Lanka;South-East Asia;114.0;124.0;69474.2735;1
24;2019;Myanmar;South-East Asia;110.0;122.0;216151.3799;1
25;2019;Nepal;South-East Asia;112.0;124.0;100275.09462000002;1
27;2019;Bangladesh;South-East Asia;112.0;123.0;468821.68425;1
28;2019;Bhutan;South-East Asia;114.0;123.0;1110.67116;1
29;2019;Maldives;South-East Asia;110.0;118.0;33.215230000000005;1
30;2019;Thailand;South-East Asia;116.0;128.0;91342.32546;1
31;2019;Timor-Leste;South-East Asia;114.0;126.0;4393.06636;1
32;2019;Israel;Europe;120.0;131.0;0.0;1
33;2019;Kazakhstan;Europe;116.0;126.0;13666.6472;1
34;2019;Kyrgyzstan;Europe;114.0;123.0;7448.089709999999;1
35;2019;Belgium;Europe;120.0;131.0;0.0;1
36;2019;Bulgaria;Europe;118.0;128.0;1.0;1
37;2019;Bosnia and Herzegovina;Europe;117.0;128.0;19733.45946;1
38;2019;Belarus;Europe;119.0;129.0;2019.02785;1
39;2019;Switzerland;Europe;120.0;132.0;0.0;1
40;2019;Cyprus;Europe;119.0;131.0;0.0;1
41;2019;Czechia;Europe;119.0;129.0;0.0;1
42;2019;Germany;Europe;120.0;132.0;0.0;1
43;2019;Denmark;Europe;120.0;131.0;0.0;1
44;2019;Spain;Europe;119.0;131.0;0.0;1
45;2019;Finland;Europe;120.0;132.0;0.0;1
46;2019;France;Europe;120.0;132.0;0.0;1
47;2019;Netherlands;Europe;120.0;131.0;0.0;1
48;2019;Norway;Europe;120.0;131.0;0.0;1
49;2019;Poland;Europe;120.0;130.0;0.0;1
50;2019;Portugal;Europe;119.0;131.0;0.0;1
51;2019;Romania;Europe;118.0;128.0;45265.417250000006;1
52;2019;Russian Federation;Europe;119.0;129.0;341316.068;1
53;2019;Serbia;Europe;118.0;128.0;23378.03314;1
55;2019;Georgia;Europe;117.0;126.0;8602.94615;1
56;2019;Slovakia;Europe;118.0;128.0;0.0;1
