;Actual Value;Prediction;countryName;regionName;year
0;1;3;Afghanistan;Eastern Mediterranean;2019
1;1;3;Iran (Islamic Republic of);Eastern Mediterranean;2019
2;1;2;Iraq;Eastern Mediterranean;2019
3;3;5;Jordan;Eastern Mediterranean;2019
4;2;1;Lebanon;Eastern Mediterranean;2019
5;1;1;Libya;Eastern Mediterranean;2019
6;1;2;Morocco;Eastern Mediterranean;2019
7;2;5;Oman;Eastern Mediterranean;2019
8;3;5;Pakistan;Eastern Mediterranean;2019
9;1;3;Bahrain;Eastern Mediterranean;2019
10;1;2;Djibouti;Eastern Mediterranean;2019
11;2;5;Egypt;Eastern Mediterranean;2019
12;2;2;Qatar;Eastern Mediterranean;2019
13;1;3;Saudi Arabia;Eastern Mediterranean;2019
14;1;1;Sudan;Eastern Mediterranean;2019
15;1;3;Somalia;Eastern Mediterranean;2019
16;3;5;Syrian Arab Republic;Eastern Mediterranean;2019
17;2;5;Kuwait;Eastern Mediterranean;2019
18;1;2;Tunisia;Eastern Mediterranean;2019
19;1;3;Yemen;Eastern Mediterranean;2019
20;2;5;United Arab Emirates;Eastern Mediterranean;2019
21;1;2;Indonesia;South-East Asia;2019
22;1;1;India;South-East Asia;2019
23;1;3;Sri Lanka;South-East Asia;2019
24;1;3;Myanmar;South-East Asia;2019
25;3;5;Nepal;South-East Asia;2019
26;1;3;;;
27;3;5;Bangladesh;South-East Asia;2019
28;3;5;Bhutan;South-East Asia;2019
29;1;2;Maldives;South-East Asia;2019
30;1;2;Thailand;South-East Asia;2019
31;1;1;Timor-Leste;South-East Asia;2019
32;1;3;Israel;Europe;2019
33;1;1;Kazakhstan;Europe;2019
34;1;2;Kyrgyzstan;Europe;2019
35;1;1;Belgium;Europe;2019
36;1;2;Bulgaria;Europe;2019
37;1;3;Bosnia and Herzegovina;Europe;2019
38;1;2;Belarus;Europe;2019
39;3;5;Switzerland;Europe;2019
40;1;3;Cyprus;Europe;2019
41;1;1;Czechia;Europe;2019
42;1;2;Germany;Europe;2019
43;1;3;Denmark;Europe;2019
44;1;2;Spain;Europe;2019
45;1;3;Finland;Europe;2019
46;1;1;France;Europe;2019
47;2;3;Netherlands;Europe;2019
48;1;3;Norway;Europe;2019
49;2;2;Poland;Europe;2019
50;1;5;Portugal;Europe;2019
51;1;2;Romania;Europe;2019
52;3;5;Russian Federation;Europe;2019
53;1;3;Serbia;Europe;2019
54;1;2;;;
55;1;2;Georgia;Europe;2019
56;1;1;Slovakia;Europe;2019
57;1;3;Sweden;Europe;2019
58;1;3;Estonia;Europe;2019
59;1;5;Montenegro;Europe;2019
