;Actual Value;Prediction;countryName;regionName;year
113;1.0;1.0;Venezuela (Bolivarian Republic of);Americas;2019
7;1.0;1.0;Oman;Eastern Mediterranean;2019
156;1.0;1.0;Cabo Verde;Africa;2019
147;3.0;4.0;Benin;Africa;2019
111;2.0;5.0;Haiti;Americas;2019
77;1.0;2.0;Uzbekistan;Europe;2019
62;1.0;1.0;Hungary;Europe;2019
168;2.0;1.0;Eswatini;Africa;2019
151;3.0;4.0;Côte d'Ivoire;Africa;2019
115;1.0;1.0;Japan;Western Pacific;2019
38;1.0;1.0;Belarus;Europe;2019
174;2.0;2.0;Equatorial Guinea;Africa;2019
181;2.0;1.0;Zimbabwe;Africa;2019
5;1.0;1.0;Libya;Eastern Mediterranean;2019
21;1.0;2.0;Indonesia;South-East Asia;2019
98;1.0;1.0;El Salvador;Americas;2019
153;3.0;1.0;Democratic Republic of the Congo;Africa;2019
139;2.0;1.0;Madagascar;Africa;2019
42;1.0;1.0;Germany;Europe;2019
107;1.0;1.0;Bahamas;Americas;2019
142;2.0;2.0;Mauritania;Africa;2019
66;1.0;1.0;Lithuania;Europe;2019
69;1.0;1.0;Republic of Moldova;Europe;2019
4;1.0;1.0;Lebanon;Eastern Mediterranean;2019
134;1.0;1.0;Australia;Western Pacific;2019
155;3.0;1.0;Comoros;Africa;2019
121;1.0;1.0;Malaysia;Western Pacific;2019
158;3.0;1.0;Eritrea;Africa;2019
172;3.0;2.0;Burundi;Africa;2019
67;1.0;1.0;Luxembourg;Europe;2019
49;1.0;1.0;Poland;Europe;2019
31;1.0;2.0;Timor-Leste;South-East Asia;2019
114;1.0;1.0;Argentina;Americas;2019
171;1.0;1.0;Seychelles;Africa;2019
72;1.0;1.0;Slovenia;Europe;2019
9;1.0;1.0;Bahrain;Eastern Mediterranean;2019
61;1.0;1.0;Croatia;Europe;2019
89;1.0;1.0;Bolivia (Plurinational State of);Americas;2019
50;1.0;1.0;Portugal;Europe;2019
152;3.0;1.0;Cameroon;Africa;2019
135;1.0;1.0;Brunei Darussalam;Western Pacific;2019
29;1.0;2.0;Maldives;South-East Asia;2019
35;1.0;1.0;Belgium;Europe;2019
101;1.0;1.0;Grenada;Americas;2019
60;1.0;1.0;Greece;Europe;2019
86;1.0;1.0;Peru;Americas;2019
23;1.0;1.0;Sri Lanka;South-East Asia;2019
117;2.0;1.0;Kiribati;Western Pacific;2019
110;1.0;1.0;Honduras;Americas;2019
144;2.0;1.0;Namibia;Africa;2019
19;1.0;4.0;Yemen;Eastern Mediterranean;2019
57;1.0;1.0;Sweden;Europe;2019
182;3.0;5.0;Angola;Africa;2019
132;1.0;2.0;Viet Nam;Western Pacific;2019
45;1.0;1.0;Finland;Europe;2019
80;1.0;1.0;Austria;Europe;2019
27;1.0;2.0;Bangladesh;South-East Asia;2019
118;1.0;1.0;Republic of Korea;Western Pacific;2019
119;1.0;2.0;Lao People's Democratic Republic;Western Pacific;2019
166;1.0;3.0;Gabon;Africa;2019
